醫事機構名稱, 地址, 電話
傑出診所, 臺中市西屯區逢甲里河南路2段352號, 04-24515602
偕安診所, 臺中市西屯區福科路417號1樓, 04-24616766
龍井東海小兒科診所, 臺中市龍井區新東里新興路96–23號, 04-26521838
江萬洲內小兒科診所, 臺中市大里區西榮里中興路二段651號, 04-24851908
戴啟訓診所, 臺中市大里區益民路2段113號1樓, 04-24873300
佳恩聯合診所, 臺中市太平區中山路二段372號之1, 04-23926762
呂其嘉婦產科診所, 臺中市太平區中平里中平路151－5號, 04-22750158
符乾龍小兒科診所, 臺中市北屯區大鵬路64號1樓, 04-22959123
小蘋果小兒科診所, 臺中市北屯區山西路2段264號1樓, 04-22951800
祐華親子診所, 臺中市北區北平路2段194號1樓, 04-22925668
永旭診所, 臺中市北區民權路353號1樓, 04-22066767
許文俊小兒科診所, 臺中市北區進化北路265號一樓, 04-22350366
小太陽聯合診所, 臺中市北區漢口路三段179號1樓, 04-22955656
吳志中診所, 臺中市北區賴村里健行路510號, 04-22059412
慈仁診所, 臺中市平等里五權路488之8號6樓, 04-22057398
劉彥山診所, 臺中市西區向上路一段361號, 04-24726518
祐幼診所, 臺中市東區立德里臺中路121號, 04-22235114
魏文宏診所, 臺中市大里區中興路二段229號, 04-24862592
朝陽診所, 臺中市大里區成功路543號1．2樓, 04-24965000
楊文澤小兒科診所, 臺中市大里區塗城路864號, 04-24930319
合康診所, 臺中市霧峰區中正路892號1樓, 04-23330268
文貴旺診所, 臺中市太平區太平路326號1樓, 04-22794321
正安診所, 臺中市太平區新光里樹德路69巷4號, 04-23959822
朱博欣小兒科診所, 臺中市沙鹿區中山路487之2號1樓, 04-26630086
孫皓雲診所, 臺中市沙鹿區北勢東路329號1樓, 04-26652230
蔡神經科診所, 臺中市清水區中山路134－2號1－3樓, 04-26222050
林澤民小兒科診所, 臺中市清水區中山路242–1號, 04-26233935
明哲診所, 臺中市清水區北寧里中山路449－1號, 04-26227661
清水回生家庭醫學科診所, 臺中市清水區南寧里中山路134號, 04-26222050
錫欽診所, 臺中市大甲區孟春里通天路178號, 04-26815785
廖奇峰診所, 臺中市西區民生路420號1樓, 04-23029199
